id,ruta_id,ruta_nombre,personajes,etapa_vida,medio_transporte,cita_textual
1,1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie","Me acuerdo perfecto de la calle por donde tenia que caminar. No me sabia nombres de calles, sino caminos."
2,1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie","Nos ibamos a pie hasta la plaza de Miravalle, a comer paletas, y platicabamos todo el tiempo, en general de cosas que habiamos visto en escaparates por Insurgentes."
3,1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie","Y asi era: mi papa a la oficina, yo a la escuela, y mi mama en la puerta diciendonos adios."
4,1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie",Mi papa me daba cinco pesos ya en la puerta del edificio. Esos cinco pesos que me daban alcanzaban para una torta y un refresco y el camion de ida y vuelta.
5,1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie","Muchas veces he vuelto a la calle de Jalapa y el edificio sigue ahi, mas viejo, mas roto; me da tristeza, no porque se hayan muerto mis padres, sino porque ya no me encuentro."
6,1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie","Una de mis amigas no vivia en apartamento sino en una casita amarilla y sucia con reja roja y hasta un pedacito de jardin, en la calle de Ixtlan."
7,1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie","Vivia por la plaza Romita y a su casa, en esa epoca, nunca fui."
8,1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie","El edificio, que estaba en Alvaro Obregon, era mucho mejor y a Lourdes le encantaba que la calle tuviera su camellon, que su cuarto diera a la calle."
9,2,Ruta del paseo dominical — El Plymouth del padre,"Susana, Padre, Madre",Infancia,coche,"El coche era como una tina de laton, y el mundo afuera era muy raro pese a los comentarios de mi mama: que si las jacarandas ya estaban floreando, que si aquel edificio nuevo."
10,2,Ruta del paseo dominical — El Plymouth del padre,"Susana, Padre, Madre",Infancia,coche,Uno de los suenos dorados de mi padre era llegar a tener un apartamento en la plaza de Rio de Janeiro. El edificio numero 10 era el que le gustaba.
11,2,Ruta del paseo dominical — El Plymouth del padre,"Susana, Padre, Madre",Infancia,coche,"Mas que la ciudad, eran mis padres. Nosotros tres en domingo o dia feriado."
12,2,Ruta del paseo dominical — El Plymouth del padre,"Susana, Padre, Madre",Infancia,coche,Bajarse en alguna esquina desconocida a tomar un agua fresca.
13,3,Ruta del primer trabajo — Zona Rosa,"Susana, Padre",Adolescencia/juventud,"a_pie, camion","Llegar a la Zona Rosa no fue ningun problema. Era una parte de la ciudad que ni sospechaba, pero el primer dia me llevo mi padre."
14,3,Ruta del primer trabajo — Zona Rosa,"Susana, Padre",Adolescencia/juventud,"a_pie, camion","El dia anterior, mi mama, muy emocionada, me habia acompanado a Sears para que me comprara un poco de ropa mas formal. Que un traje sastre, insistia ella."
15,3,Ruta del primer trabajo — Zona Rosa,"Susana, Padre",Adolescencia/juventud,"a_pie, camion","De la ciudad solo conocia mi zona, mi mundo, a veces esas casas mas prosperas que otras."
16,4,Ruta del origen — El tren a San Blas,"Susana, Madre",Juventud,tren,"Que barbaridad no haber salido antes de la ciudad, pero mas barbaridad salir si no habiamos salido nunca antes. Solo con el trayecto hasta la estacion, que lejos iba quedando todo."
17,4,Ruta del origen — El tren a San Blas,"Susana, Madre",Juventud,tren,"Como me daba tristeza ver gente caminando por la calle: se veian envueltos de ciudad, protegidos. Mi madre no hacia un gesto, un ruido. Iba en un silencio apretado."
18,4,Ruta del origen — El tren a San Blas,"Susana, Madre",Juventud,tren,"Cuando caminamos hacia la plataforma del tren, no se volvio ni una vez para despedirse de Lourdes. Nos alejabamos sin saber adonde ibamos."
19,4,Ruta del origen — El tren a San Blas,"Susana, Madre",Juventud,tren,"La luz era distinta a la de la ciudad. Y si no hay nadie esperandonos?, le insistia a mi mama."
