ruta_id,ruta_nombre,personajes,etapa_vida,medio_transporte,waypoint_orden,waypoint_lugar,waypoint_tipo,latitud,longitud,dist_segmento_m,NAINr500m,NAINr1500m,NAINr5000m,NACHr500m,NACHr1500m,NACHr5000m,Ta_mean,UHI_mean
1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie",1,Apartamento calle Jalapa,origen/vivienda,19.4117,-99.1596,10.5,1.37,1.46,1.63,1.19,1.14,1.11,25.77,0.61
1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie",2,Parada de camion (Jalapa),transporte,19.4115,-99.1592,32.6,1.83,2.03,1.96,1.16,1.23,1.25,25.56,0.55
1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie",3,Escuela primaria (colonia Roma),destino,19.415,-99.161,36.8,1.7,1.94,2.07,0.96,1.17,1.2,26.5,0.8
1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie",4,Plaza Miravalle,recreacion,19.4202,-99.1662,23.0,1.15,1.21,1.35,0.9,0.74,0.75,25.5,0.54
1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie",5,Cine colonia Roma,recreacion,19.417,-99.1615,8.7,1.64,1.73,2.05,0.93,1.08,1.13,26.33,0.76
1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie",6,Casa de Lourdes (Alvaro Obregon),social,19.4171,-99.1662,6.1,1.62,1.87,1.81,1.03,1.21,1.14,25.85,0.63
1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie",7,Casa de Socorro (calle Ixtlan),social,19.4069,-99.1577,44.3,1.31,1.53,1.75,1.0,1.0,0.96,26.38,0.77
1,Ruta de la infancia — El canalito de Susana,"Susana, Padre, Madre",Infancia (primaria),"camion, a_pie",8,Plaza Rio de Janeiro,recreacion,19.4217,-99.1606,0.0,1.24,1.59,1.65,1.12,1.05,0.96,26.24,0.73
2,Ruta del paseo dominical — El Plymouth del padre,"Susana, Padre, Madre",Infancia,coche,1,Apartamento calle Jalapa,origen,19.4117,-99.1596,10.5,1.37,1.46,1.63,1.19,1.14,1.11,25.77,0.61
2,Ruta del paseo dominical — El Plymouth del padre,"Susana, Padre, Madre",Infancia,coche,2,Calles de la colonia Roma (jacarandas),paseo,19.416,-99.162,14.4,2.02,1.99,1.98,1.14,1.26,1.26,26.4,0.78
2,Ruta del paseo dominical — El Plymouth del padre,"Susana, Padre, Madre",Infancia,coche,3,Plaza Rio de Janeiro (sueno del padre),destino_simbolico,19.4217,-99.1606,0.0,1.24,1.59,1.65,1.12,1.05,0.96,26.24,0.73
2,Ruta del paseo dominical — El Plymouth del padre,"Susana, Padre, Madre",Infancia,coche,4,Esquina desconocida (agua fresca),parada,19.419,-99.161,14.1,1.42,1.54,1.6,1.02,1.13,1.04,26.39,0.77
3,Ruta del primer trabajo — Zona Rosa,"Susana, Padre",Adolescencia/juventud,"a_pie, camion",1,Apartamento calle Jalapa,origen,19.4117,-99.1596,10.5,1.37,1.46,1.63,1.19,1.14,1.11,25.77,0.61
3,Ruta del primer trabajo — Zona Rosa,"Susana, Padre",Adolescencia/juventud,"a_pie, camion",2,Sears (compra ropa formal),preparacion,19.4171,-99.17,47.1,1.73,1.55,1.91,1.11,1.17,1.3,26.04,0.68
3,Ruta del primer trabajo — Zona Rosa,"Susana, Padre",Adolescencia/juventud,"a_pie, camion",3,Zona Rosa (oficina),destino/trabajo,19.4249,-99.1641,51.3,1.5,1.75,1.8,0.99,1.24,1.26,26.8,0.89
4,Ruta del origen — El tren a San Blas,"Susana, Madre",Juventud,tren,1,Apartamento calle Jalapa,origen,19.4117,-99.1596,10.5,1.37,1.46,1.63,1.19,1.14,1.11,25.77,0.61
